turn,condition,treatment,treatment_label,transfer,return,default_transfer,default_return,earnings_transferrer,earnings_returner,total_earnings_transferrer,total_earnings_returner,link_condition,info_condition,total_time_transferrer,total_time_returner,workerId_transferrer,workerId_returner,machiv_transferrer,machiv_returner,age_transferrer,age_returner,pretest_tries_transferrer,pretest_tries_returner,prev_exp_transferrer,prev_exp_returner,clarity_transferrer,clarity_returner,tech_difficulties_transferrer,tech_difficulties_returner,educ_transferrer,educ_returner,gender_transferrer,gender_returner,lagged_transfer,lagged_avg_return,relationship,crelationship,conditionid
0,0,21,E,2,3,False,False,16,3,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,,,447,447,21
0,0,21,E,2,3,False,False,16,3,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,,,442,442,21
1,0,21,E,3,1,False,False,14,8,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,2,3,446,446,21
1,0,21,E,3,3,False,False,14,6,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,2,3,445,445,21
2,0,21,E,5,1,False,False,10,14,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,3,2,443,443,21
2,0,21,E,5,5,False,False,10,10,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,3,2,444,444,21
3,0,21,E,1,1,False,False,18,2,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,3,447,447,21
3,0,21,E,1,0,False,False,18,3,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,3,442,442,21
4,0,21,E,3,0,False,False,11,9,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,0,446,446,21
4,0,21,E,6,8,False,False,11,10,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,0,445,445,21
5,0,21,E,5,0,False,False,10,15,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,6,4,443,443,21
5,0,21,E,5,7,False,False,10,8,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,6,4,444,444,21
6,0,21,E,2,3,False,False,16,3,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,3,447,447,21
6,0,21,E,2,2,False,False,16,4,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,3,442,442,21
7,0,21,E,3,0,False,False,7,9,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,2,2,446,446,21
7,0,21,E,10,10,False,False,7,20,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,2,2,445,445,21
